year,going_trick_or_treating,gender,age,country,anonymous_brown_globs_that_come_in_black_and_orange_wrappers,any_full_sized_candy_bar,black_jacks,blue_m_ms,bonkers_the_candy,bottle_caps,boxo_raisins,butterfinger,cadbury_creme_eggs,candy_corn,caramellos,chick_o_sticks_we_don_t_know_what_that_is,chiclets,coffee_crisp,dots,dove_bars,fuzzy_peaches,glow_sticks,goo_goo_clusters,good_n_plenty,gum_from_baseball_cards,gummy_bears_straight_up,hard_candy,healthy_fruit,heath_bar,hershey_s_milk_chocolate,hersheys_dark_chocolate,hersheys_kisses,jolly_rancher_bad_flavor,jolly_ranchers_good_flavor,junior_mints,kinder_happy_hippo,kit_kat,laffy_taffy,lemon_heads,licorice_not_black,licorice_yes_black,lindt_truffle,lollipops,mars,mary_janes,maynards,mike_and_ike,milk_duds,milky_way,minibags_of_chips,mint_juleps,mint_kisses,mr_goodbar,necco_wafers,nerds,nestle_crunch,nown_laters,peanut_m_m_s,peeps,pencils,pixy_stix,red_m_ms,reese_s_peanut_butter_cups,reeses_pieces,reggie_jackson_bar,regular_m_ms,rolos,senior_mints,skittles,smarties_american,smarties_commonwealth,snickers,sourpatch_kids_i_e_abominations_of_nature,spotted_dick,starburst,swedish_fish,sweet_tarts,sweetums_a_friend_to_diabetes,third_party_m_ms,those_odd_marshmallow_circus_peanut_things,three_musketeers,tic_tacs,tolberone_something_or_other,trail_mix,twix,whatchamacallit_bars,x100_grand_bar,york_peppermint_patties
2016,Yes,Male,45,The republic of Cascadia,DESPAIR,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY
2016,Yes,I'd rather not say,15,USA,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH
2016,Yes,Male,41,usa,MEH,JOY,NA,MEH,NA,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,MEH,NA,MEH,MEH,NA,JOY,NA,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,NA,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,NA,MEH,MEH,JOY,MEH,NA,NA,MEH,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,NA,MEH,MEH,MEH,JOY,MEH,NA,JOY,MEH,NA,MEH,MEH,MEH,NA,MEH,JOY,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,MEH
2016,No,Male,34,USA,DESPAIR,JOY,NA,JOY,NA,MEH,MEH,JOY,JOY,MEH,JOY,NA,MEH,NA,JOY,JOY,NA,MEH,NA,JOY,NA,NA,MEH,MEH,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,NA,JOY,MEH,MEH,MEH,JOY,JOY,MEH,NA,NA,NA,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,JOY,NA,JOY,JOY,NA,JOY,MEH,NA,JOY,JOY,DESPAIR,JOY,JOY,JOY,NA,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY
2016,No,Male,55,USA,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,MEH,MEH,JOY,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY
2016,Yes,Female,60,USA,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR
2016,No,Female,34,USA,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY
2016,No,Male,49,USA,MEH,JOY,JOY,MEH,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,MEH,JOY,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,JOY,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY
2016,No,Male,42,Canada,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,JOY
2016,No,Male,28,USA,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,MEH,JOY,DESPAIR,NA,NA,NA,JOY,NA,NA,MEH,NA,MEH,MEH,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,NA,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,NA,MEH,MEH,MEH,NA,MEH,DESPAIR,DESPAIR,JOY,NA,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,NA,JOY,DESPAIR,DESPAIR,JOY,JOY,NA,DESPAIR,DESPAIR,NA,JOY,JOY,JOY,NA,DESPAIR,DESPAIR,JOY,JOY,NA,MEH,DESPAIR,NA,DESPAIR,NA
2016,No,Female,59,USA,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,MEH
2016,No,Male,35,Murica,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR
2016,No,Male,39,United States,MEH,MEH,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,MEH,JOY,JOY,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,JOY,JOY
2016,No,Female,NA,NA,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,JOY
2016,No,Male,39,United States,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,MEH,MEH,MEH,JOY,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH
2016,No,Male,29,USA,DESPAIR,JOY,MEH,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY
2016,No,Male,53,United Stetes,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH
2016,No,I'd rather not say,44,Usa,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,JOY,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY
2016,No,Female,40,United States,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH
2016,No,Male,52,america,DESPAIR,JOY,MEH,JOY,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,MEH,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY
2016,No,Female,37,USA,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,MEH,JOY,MEH,NA,MEH,NA,MEH,JOY,NA,JOY,NA,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,JOY,NA,NA,MEH,JOY,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,NA,JOY,JOY,DESPAIR,JOY,JOY,NA,MEH,MEH,NA,MEH,JOY,MEH,NA,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY
2016,Yes,Male,34,USA,DESPAIR,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,MEH,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY
2016,No,Male,54,USA,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,MEH,JOY
2016,No,Male,34,USA,JOY,JOY,MEH,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY
2016,No,Male,45,United States,MEH,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH
2016,No,Female,28,USA,DESPAIR,JOY,MEH,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,NA,JOY,MEH,JOY,JOY,MEH,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH
2016,No,Male,43,USA,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY
2016,No,Male,39,United states,DESPAIR,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR
2016,No,Male,48,USA,DESPAIR,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY
2016,No,Male,60,NA,DESPAIR,JOY,MEH,JOY,MEH,MEH,JOY,MEH,JOY,DESPAIR,MEH,MEH,MEH,JOY,MEH,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,MEH,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY
2016,No,Male,55,Usa,DESPAIR,JOY,DESPAIR,JOY,NA,NA,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,NA,JOY,MEH,DESPAIR,MEH,NA,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,JOY,MEH,NA,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,NA,MEH,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,NA,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,MEH,NA,JOY,DESPAIR,NA,MEH,JOY,MEH,NA,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,JOY,NA,MEH,MEH
